"id","genome","taxonomy","sample","infant"
"277","conN2_064_000G1_concoct_34.fa","Clostridioides difficile","N2_064_000G1","N2_064"
"278","conN2_064_000G1_concoct_3.fa","Slackia heliotrinireducens DSM 20476","N2_064_000G1","N2_064"
"279","conN2_064_000G1_concoct_49.fa","Actinomyces meyeri","N2_064_000G1","N2_064"
"280","conN2_064_000G1_concoct_53.fa","Finegoldia magna ATCC 29328","N2_064_000G1","N2_064"
"281","conN2_064_000G1_concoct_7.fa","Clostridium perfringens","N2_064_000G1","N2_064"
"282","conN2_064_011G1_concoct_15.fa","Staphylococcus epidermidis","N2_064_011G1","N2_064"
"283","conN2_064_016G1_concoct_12.fa","Finegoldia magna ATCC 29328","N2_064_016G1","N2_064"
"284","conN2_064_016G1_concoct_4.fa","Citrobacter freundii","N2_064_016G1","N2_064"
"285","conN2_064_025G1_concoct_11.fa","Streptococcus parasanguinis FW213","N2_064_025G1","N2_064"
"286","conN2_064_025G1_concoct_12.fa","Veillonella parvula DSM 2008","N2_064_025G1","N2_064"
"287","conN2_064_027G1_concoct_12.fa","Propionibacterium avidum 44067","N2_064_027G1","N2_064"
"288","conN2_064_027G1_concoct_1.fa","Streptococcus salivarius","N2_064_027G1","N2_064"
"289","conN2_064_031G1_concoct_13.fa","Klebsiella pneumoniae","N2_064_031G1","N2_064"
"290","conN2_064_031G1_concoct_17.fa","Streptococcus salivarius","N2_064_031G1","N2_064"
"291","conN2_064_031G1_concoct_25.fa","Anaerococcus prevotii DSM 20548","N2_064_031G1","N2_064"
"292","conN2_064_036G1_concoct_13.fa","Streptococcus parasanguinis ATCC 15912","N2_064_036G1","N2_064"
"293","conN2_064_036G1_concoct_25.fa","Bifidobacterium scardovii JCM 12489 = DSM 13734","N2_064_036G1","N2_064"
"294","conN2_064_036G1_concoct_30.fa","Atopobium parvulum DSM 20469","N2_064_036G1","N2_064"
"295","conN2_064_036G1_concoct_5.fa","Enterococcus faecalis","N2_064_036G1","N2_064"
"296","conN2_064_043G1_concoct_10.fa","Megasphaera elsdenii 14-14","N2_064_043G1","N2_064"
"297","conN2_064_043G1_concoct_13.fa","Mobiluncus curtisii ATCC 43063","N2_064_043G1","N2_064"
"298","conN2_064_043G1_concoct_4.fa","Roseburia hominis A2-183","N2_064_043G1","N2_064"
"299","conN2_065_000G1_concoct_0.fa","Finegoldia magna ATCC 29328","N2_065_000G1","N2_065"
"300","conN2_065_000G1_concoct_15.fa","Anaerococcus prevotii DSM 20548","N2_065_000G1","N2_065"
"301","conN2_065_000G1_concoct_21.fa","Anaerococcus prevotii DSM 20548","N2_065_000G1","N2_065"
"302","conN2_065_000G1_concoct_9.fa","Finegoldia magna ATCC 29328","N2_065_000G1","N2_065"
"303","conN2_065_008G1_concoct_12.fa","Klebsiella pneumoniae","N2_065_008G1","N2_065"
"304","conN2_065_011G1_concoct_5.fa","Pseudomonas aeruginosa","N2_065_011G1","N2_065"
"305","conN2_065_019G1_concoct_18.fa","Bifidobacterium breve","N2_065_019G1","N2_065"
"306","conN2_065_046G1_concoct_18.fa","Propionibacterium avidum 44067","N2_065_046G1","N2_065"
"307","conN2_065_052G1_concoct_1.fa","Finegoldia magna ATCC 29328","N2_065_052G1","N2_065"
"308","conN2_065_052G1_concoct_5.fa","Escherichia coli","N2_065_052G1","N2_065"
"309","conN2_065_052G1_concoct_9.fa","Enterococcus faecalis D32","N2_065_052G1","N2_065"
"310","conN2_065_059G1_concoct_13.fa","Anaerococcus prevotii DSM 20548","N2_065_059G1","N2_065"
"311","conN2_065_059G1_concoct_15.fa","Veillonella parvula DSM 2008","N2_065_059G1","N2_065"
"312","conN2_065_059G1_concoct_1.fa","Mobiluncus curtisii ATCC 43063","N2_065_059G1","N2_065"
"313","conN2_065_059G1_concoct_3.fa","Trueperella pyogenes","N2_065_059G1","N2_065"
"314","conN2_065_059G1_concoct_8.fa","Clostridioides difficile","N2_065_059G1","N2_065"
"315","conN2_066_009G1_concoct_2.fa","Pantoea vagans C9-1","N2_066_009G1","N2_066"
"316","conN2_066_009G1_concoct_4.fa","Staphylococcus epidermidis","N2_066_009G1","N2_066"
"317","conN2_066_011G1_concoct_4.fa","Serratia liquefaciens","N2_066_011G1","N2_066"
"318","conN2_066_013G1_concoct_0.fa","Staphylococcus epidermidis","N2_066_013G1","N2_066"
"319","conN2_066_017G1_concoct_2.fa","Enterobacter cloacae","N2_066_017G1","N2_066"
"320","conN2_066_017G1_concoct_8.fa","Clostridium perfringens","N2_066_017G1","N2_066"
"321","conN2_066_019G1_concoct_15.fa","Veillonella parvula DSM 2008","N2_066_019G1","N2_066"
"322","conN2_066_021G1_concoct_11.fa","Propionibacterium avidum 44067","N2_066_021G1","N2_066"
"323","conN2_066_031G1_concoct_4.fa","Enterococcus faecalis ATCC 29212","N2_066_031G1","N2_066"
"324","conN2_066_031G1_concoct_5.fa","Clostridium baratii str. Sullivan","N2_066_031G1","N2_066"
"325","conN2_066_031G1_concoct_6.fa","Clostridium perfringens","N2_066_031G1","N2_066"
"326","conN2_066_033G1_concoct_0.fa","Megasphaera elsdenii 14-14","N2_066_033G1","N2_066"
"327","conN2_066_033G1_concoct_4.fa","Enterobacter cloacae complex sp. 35734","N2_066_033G1","N2_066"
"328","conN2_066_048G1_concoct_0.fa","Veillonella parvula DSM 2008","N2_066_048G1","N2_066"
"329","conN2_066_060G1_concoct_15.fa","Enterococcus faecium","N2_066_060G1","N2_066"
"330","conN2_066_060G1_concoct_5.fa","Finegoldia magna ATCC 29328","N2_066_060G1","N2_066"
"331","conN2_066_060G1_concoct_6.fa","Roseburia hominis A2-183","N2_066_060G1","N2_066"
"332","conN2_066_064G1_concoct_22.fa","Actinomyces sp. oral taxon 414","N2_066_064G1","N2_066"
"333","conN2_066_064G1_concoct_6.fa","Clostridium perfringens","N2_066_064G1","N2_066"
"334","conN2_069_000G1_concoct_13.fa","Enterococcus faecalis DENG1","N2_069_000G1","N2_069"
"335","conN2_069_000G1_concoct_24.fa","Megasphaera elsdenii 14-14","N2_069_000G1","N2_069"
"336","conN2_069_000G1_concoct_32.fa","Klebsiella pneumoniae","N2_069_000G1","N2_069"
"337","conN2_069_000G1_concoct_39.fa","Staphylococcus epidermidis","N2_069_000G1","N2_069"
"338","conN2_069_000G1_concoct_3.fa","Anaerococcus prevotii DSM 20548","N2_069_000G1","N2_069"
"339","conN2_069_018G1_concoct_8.fa","Enterobacter cloacae complex sp. 35734","N2_069_018G1","N2_069"
"340","conN2_069_028G1_concoct_12.fa","Escherichia coli","N2_069_028G1","N2_069"
"341","conN2_069_028G1_concoct_7.fa","Finegoldia magna ATCC 29328","N2_069_028G1","N2_069"
"342","conN2_069_028G1_concoct_8.fa","Propionibacterium avidum 44067","N2_069_028G1","N2_069"
"343","conN2_070_000G1_concoct_12.fa","Staphylococcus warneri SG1","N2_070_000G1","N2_070"
"344","conN2_070_000G1_concoct_15.fa","Finegoldia magna ATCC 29328","N2_070_000G1","N2_070"
"345","conN2_070_000G1_concoct_31.fa","Campylobacter ureolyticus RIGS 9880","N2_070_000G1","N2_070"
"346","conN2_070_000G1_concoct_39.fa","Intestinimonas butyriciproducens","N2_070_000G1","N2_070"
"347","conN2_070_000G1_concoct_43.fa","Blautia sp. YL58","N2_070_000G1","N2_070"
"348","conN2_070_000G1_concoct_6.fa","Staphylococcus haemolyticus JCSC1435","N2_070_000G1","N2_070"
"349","conN2_070_016G1_concoct_12.fa","Corynebacterium simulans","N2_070_016G1","N2_070"
"350","conN2_070_016G1_concoct_23.fa","Bacillus thuringiensis","N2_070_016G1","N2_070"
"351","conN2_070_019G1_concoct_1.fa","Enterobacter cloacae complex sp. 35734","N2_070_019G1","N2_070"
"352","conN2_070_019G1_concoct_6.fa","synthetic construct","N2_070_019G1","N2_070"
"353","conN2_070_027G1_concoct_11.fa","Propionibacterium avidum 44067","N2_070_027G1","N2_070"
"354","conN2_070_027G1_concoct_15.fa","Staphylococcus epidermidis","N2_070_027G1","N2_070"
"355","conN2_070_027G1_concoct_8.fa","Enterococcus faecalis ATCC 29212","N2_070_027G1","N2_070"
"356","conN2_070_030G1_concoct_17.fa","Enterococcus faecium","N2_070_030G1","N2_070"
"357","conN2_070_030G1_concoct_20.fa","Klebsiella pneumoniae","N2_070_030G1","N2_070"
"358","conN2_070_036G1_concoct_10.fa","Anaerococcus prevotii DSM 20548","N2_070_036G1","N2_070"
"359","conN2_070_036G1_concoct_13.fa","Eggerthella lenta DSM 2243","N2_070_036G1","N2_070"
"360","conN2_070_036G1_concoct_24.fa","Anaerococcus prevotii DSM 20548","N2_070_036G1","N2_070"
"361","conN2_070_036G1_concoct_25.fa","Corynebacterium atypicum","N2_070_036G1","N2_070"
"362","conN2_070_036G1_concoct_3.fa","Propionibacterium avidum 44067","N2_070_036G1","N2_070"
"363","conN2_070_036G1_concoct_7.fa","Finegoldia magna ATCC 29328","N2_070_036G1","N2_070"
"364","conN2_070_036G1_concoct_9.fa","Megasphaera elsdenii 14-14","N2_070_036G1","N2_070"
"365","conN2_070_042G1_concoct_15.fa","Enterobacter hormaechei subsp. oharae","N2_070_042G1","N2_070"
"366","conN2_070_042G1_concoct_2.fa","Klebsiella oxytoca","N2_070_042G1","N2_070"
"367","conN2_070_057G1_concoct_22.fa","Finegoldia magna ATCC 29328","N2_070_057G1","N2_070"
"368","conN2_070_057G1_concoct_26.fa","Anaerococcus prevotii DSM 20548","N2_070_057G1","N2_070"
"369","conN2_070_060G1_concoct_9.fa","Finegoldia magna ATCC 29328","N2_070_060G1","N2_070"
"370","conN2_071_000G1_concoct_40.fa","Atopobium parvulum DSM 20469","N2_071_000G1","N2_071"
"371","conN2_071_000G1_concoct_45.fa","Prevotella melaninogenica ATCC 25845","N2_071_000G1","N2_071"
"372","conN2_071_008G1_concoct_4.fa","Bifidobacterium scardovii JCM 12489 = DSM 13734","N2_071_008G1","N2_071"
"373","conN2_071_008G1_concoct_5.fa","Staphylococcus epidermidis","N2_071_008G1","N2_071"
"374","conN2_071_010G1_concoct_7.fa","Klebsiella pneumoniae","N2_071_010G1","N2_071"
"375","conN2_071_010G1_concoct_8.fa","Enterococcus faecium T110","N2_071_010G1","N2_071"
"376","conN2_071_013G1_concoct_14.fa","Propionibacterium avidum 44067","N2_071_013G1","N2_071"
"377","conN2_071_013G1_concoct_7.fa","Staphylococcus epidermidis","N2_071_013G1","N2_071"
"378","conN2_071_017G1_concoct_8.fa","Megasphaera elsdenii 14-14","N2_071_017G1","N2_071"
"379","conN2_071_019G1_concoct_22.fa","Finegoldia magna ATCC 29328","N2_071_019G1","N2_071"
"380","conN2_071_019G1_concoct_27.fa","Finegoldia magna ATCC 29328","N2_071_019G1","N2_071"
"381","conN2_071_019G1_concoct_32.fa","Megasphaera elsdenii 14-14","N2_071_019G1","N2_071"
"382","conN2_071_025G1_concoct_6.fa","Clostridioides difficile","N2_071_025G1","N2_071"
"383","conN2_071_025G1_concoct_7.fa","Selenomonas sputigena ATCC 35185","N2_071_025G1","N2_071"
"384","conN2_071_027G1_concoct_23.fa","Veillonella parvula DSM 2008","N2_071_027G1","N2_071"
"385","conN2_071_027G1_concoct_25.fa","Escherichia coli","N2_071_027G1","N2_071"
"386","conN2_071_027G1_concoct_28.fa","Mobiluncus curtisii ATCC 43063","N2_071_027G1","N2_071"
"387","conN2_071_027G1_concoct_3.fa","Finegoldia magna ATCC 29328","N2_071_027G1","N2_071"
"388","conN2_071_029G1_concoct_2.fa","Bifidobacterium dentium Bd1","N2_071_029G1","N2_071"
"389","conN2_071_030G1_concoct_3.fa","Enterococcus faecalis","N2_071_030G1","N2_071"
"390","conN2_071_030G1_concoct_6.fa","Bifidobacterium bifidum","N2_071_030G1","N2_071"
"391","conN2_088_000G1_concoct_11.fa","Enterococcus faecalis","N2_088_000G1","N2_088"
"392","conN2_088_000G1_concoct_12.fa","Atopobium parvulum DSM 20469","N2_088_000G1","N2_088"
"393","conN2_088_000G1_concoct_1.fa","Streptococcus salivarius","N2_088_000G1","N2_088"
"394","conN2_088_000G1_concoct_20.fa","Streptococcus agalactiae","N2_088_000G1","N2_088"
"395","conN2_088_000G1_concoct_24.fa","Trueperella pyogenes","N2_088_000G1","N2_088"
"396","conN2_088_000G1_concoct_27.fa","Mobiluncus curtisii ATCC 43063","N2_088_000G1","N2_088"
"397","conN2_088_000G1_concoct_6.fa","Lactobacillus rhamnosus","N2_088_000G1","N2_088"
"398","conN2_088_000G1_concoct_7.fa","Clostridioides difficile","N2_088_000G1","N2_088"
"399","conN2_088_000G1_concoct_8.fa","Clostridium baratii str. Sullivan","N2_088_000G1","N2_088"
"400","conN2_088_008G1_concoct_10.fa","Staphylococcus haemolyticus","N2_088_008G1","N2_088"
"401","conN2_088_008G1_concoct_26.fa","Finegoldia magna ATCC 29328","N2_088_008G1","N2_088"
"402","conN2_088_010G1_concoct_19.fa","Veillonella parvula DSM 2008","N2_088_010G1","N2_088"
"403","conN2_088_010G1_concoct_9.fa","Klebsiella pneumoniae","N2_088_010G1","N2_088"
"404","conN2_088_013G1_concoct_19.fa","Anaerococcus prevotii DSM 20548","N2_088_013G1","N2_088"
"405","conN2_088_013G1_concoct_7.fa","Veillonella parvula DSM 2008","N2_088_013G1","N2_088"
"406","conN2_088_027G1_concoct_13.fa","Finegoldia magna ATCC 29328","N2_088_027G1","N2_088"
"407","conN2_088_027G1_concoct_6.fa","Clostridium baratii str. Sullivan","N2_088_027G1","N2_088"
"408","conN2_088_034G1_concoct_12.fa","Atopobium parvulum DSM 20469","N2_088_034G1","N2_088"
"409","conN2_088_042G1_concoct_13.fa","Finegoldia magna ATCC 29328","N2_088_042G1","N2_088"
"410","conN2_088_042G1_concoct_1.fa","Blautia sp. YL58","N2_088_042G1","N2_088"
"411","conN2_088_042G1_concoct_22.fa","Lachnoclostridium sp. YL32","N2_088_042G1","N2_088"
"412","conN2_088_042G1_concoct_4.fa","Megasphaera elsdenii 14-14","N2_088_042G1","N2_088"
"413","conN2_093_000G1_concoct_4.fa","Clostridium perfringens","N2_093_000G1","N2_093"
"414","conN2_093_000G1_concoct_5.fa","Pantoea sp. PSNIH2","N2_093_000G1","N2_093"
"415","conN2_093_000G1_concoct_6.fa","Staphylococcus epidermidis","N2_093_000G1","N2_093"
"416","conN2_093_007G1_concoct_8.fa","Enterobacter cloacae complex sp. 35734","N2_093_007G1","N2_093"
"417","conN2_093_008G1_concoct_8.fa","Haemophilus parainfluenzae T3T1","N2_093_008G1","N2_093"
"418","conN2_093_009G1_concoct_18.fa","Enterococcus faecalis","N2_093_009G1","N2_093"
"419","conN2_093_009G1_concoct_7.fa","Klebsiella pneumoniae","N2_093_009G1","N2_093"
"420","conN3_172_000G1_concoct_11.fa","Clostridioides difficile","N3_172_000G1","N3_172"
"421","conN3_172_000G1_concoct_17.fa","Trueperella pyogenes","N3_172_000G1","N3_172"
"422","conN3_172_000G1_concoct_1.fa","Eggerthella lenta DSM 2243","N3_172_000G1","N3_172"
"423","conN3_172_000G1_concoct_20.fa","Enterococcus faecium","N3_172_000G1","N3_172"
"424","conN3_172_000G1_concoct_22.fa","Staphylococcus epidermidis","N3_172_000G1","N3_172"
"425","conN3_172_000G1_concoct_33.fa","Anaerococcus prevotii DSM 20548","N3_172_000G1","N3_172"
"426","conN3_172_000G1_concoct_8.fa","Streptococcus salivarius","N3_172_000G1","N3_172"
"427","conN3_172_026G1_concoct_10.fa","Veillonella parvula DSM 2008","N3_172_026G1","N3_172"
"428","conN3_172_026G1_concoct_17.fa","Anaerococcus prevotii DSM 20548","N3_172_026G1","N3_172"
"429","conN3_172_026G1_concoct_18.fa","Enterococcus faecalis","N3_172_026G1","N3_172"
"430","conN3_172_026G1_concoct_7.fa","Finegoldia magna ATCC 29328","N3_172_026G1","N3_172"
"431","conN3_172_030G1_concoct_9.fa","Actinomyces meyeri","N3_172_030G1","N3_172"
"432","conN3_172_050G1_concoct_28.fa","Enterobacter asburiae","N3_172_050G1","N3_172"
"433","conN3_172_053G1_concoct_2.fa","Clostridium baratii str. Sullivan","N3_172_053G1","N3_172"
"434","conN3_172_070G1_concoct_18.fa","Veillonella parvula DSM 2008","N3_172_070G1","N3_172"
"435","conN3_173_000G1_concoct_15.fa","Streptococcus anginosus","N3_173_000G1","N3_173"
"436","conN3_173_000G1_concoct_16.fa","Bifidobacterium dentium JCM 1195 = DSM 20436","N3_173_000G1","N3_173"
"437","conN3_173_000G1_concoct_20.fa","Clostridium sporogenes","N3_173_000G1","N3_173"
"438","conN3_173_000G1_concoct_24.fa","Haemophilus parainfluenzae T3T1","N3_173_000G1","N3_173"
"439","conN3_173_000G1_concoct_2.fa","Atopobium parvulum DSM 20469","N3_173_000G1","N3_173"
"440","conN3_173_000G1_concoct_3.fa","[Enterobacter] aerogenes","N3_173_000G1","N3_173"
"441","conN3_173_016G1_concoct_13.fa","Staphylococcus epidermidis","N3_173_016G1","N3_173"
"442","conN3_173_016G1_concoct_15.fa","[Clostridium] acidurici 9a","N3_173_016G1","N3_173"
"443","conN3_173_016G1_concoct_24.fa","Klebsiella oxytoca","N3_173_016G1","N3_173"
"444","conN3_173_017G1_concoct_19.fa","Citrobacter freundii","N3_173_017G1","N3_173"
"445","conN3_173_019G1_concoct_16.fa","Thermobacillus composti KWC4","N3_173_019G1","N3_173"
"446","conN3_173_019G1_concoct_2.fa","Veillonella parvula DSM 2008","N3_173_019G1","N3_173"
"447","conN3_173_021G1_concoct_3.fa","Enterococcus faecalis D32","N3_173_021G1","N3_173"
"448","conN3_173_021G1_concoct_9.fa","Clostridium butyricum","N3_173_021G1","N3_173"
"449","conN3_173_039G1_concoct_6.fa","Pseudomonas aeruginosa","N3_173_039G1","N3_173"
"450","conN3_174_000G1_concoct_28.fa","Clostridioides difficile","N3_174_000G1","N3_174"
"451","conN3_174_000G1_concoct_2.fa","Eggerthella lenta DSM 2243","N3_174_000G1","N3_174"
"452","conN3_174_000G1_concoct_32.fa","Haemophilus somnus 129PT","N3_174_000G1","N3_174"
"453","conN3_174_000G1_concoct_4.fa","Clostridium butyricum","N3_174_000G1","N3_174"
"454","conN3_174_015G1_concoct_0.fa","Staphylococcus epidermidis","N3_174_015G1","N3_174"
"455","conN3_174_015G1_concoct_1.fa","Propionibacterium avidum 44067","N3_174_015G1","N3_174"
"456","conN3_174_017G1_concoct_30.fa","Veillonella parvula DSM 2008","N3_174_017G1","N3_174"
"457","conN3_174_021G1_concoct_10.fa","Clostridium perfringens","N3_174_021G1","N3_174"
"458","conN3_174_023G1_concoct_18.fa","Anaerococcus prevotii DSM 20548","N3_174_023G1","N3_174"
"459","conN3_174_023G1_concoct_19.fa","Actinomyces meyeri","N3_174_023G1","N3_174"
"460","conN3_174_034G1_concoct_17.fa","Klebsiella variicola At-22","N3_174_034G1","N3_174"
"461","conN3_174_034G1_concoct_7.fa","Clostridium baratii str. Sullivan","N3_174_034G1","N3_174"
"462","conN3_174_034G1_concoct_9.fa","Clostridium perfringens","N3_174_034G1","N3_174"
"463","conN3_174_037G1_concoct_13.fa","Actinomyces meyeri","N3_174_037G1","N3_174"
"464","conN3_174_037G1_concoct_14.fa","Veillonella parvula DSM 2008","N3_174_037G1","N3_174"
"465","conN3_174_037G1_concoct_4.fa","Enterobacter cloacae","N3_174_037G1","N3_174"
"466","conN3_175_000G1_concoct_0.fa","Finegoldia magna ATCC 29328","N3_175_000G1","N3_175"
"467","conN3_175_000G1_concoct_15.fa","Megasphaera elsdenii 14-14","N3_175_000G1","N3_175"
"468","conN3_175_000G1_concoct_19.fa","Staphylococcus epidermidis","N3_175_000G1","N3_175"
"469","conN3_175_000G1_concoct_23.fa","Clostridioides difficile","N3_175_000G1","N3_175"
"470","conN3_175_000G1_concoct_25.fa","Streptococcus parasanguinis ATCC 15912","N3_175_000G1","N3_175"
"471","conN3_175_000G1_concoct_32.fa","Eggerthella lenta DSM 2243","N3_175_000G1","N3_175"
"472","conN3_175_000G1_concoct_36.fa","Campylobacter ureolyticus RIGS 9880","N3_175_000G1","N3_175"
"473","conN3_175_000G1_concoct_38.fa","Clostridium perfringens","N3_175_000G1","N3_175"
"474","conN3_175_000G1_concoct_4.fa","Pseudomonas aeruginosa","N3_175_000G1","N3_175"
"475","conN3_175_000G1_concoct_8.fa","Clostridium sporogenes","N3_175_000G1","N3_175"
"476","conN3_175_017G1_concoct_18.fa","Enterobacter cloacae complex sp. 35734","N3_175_017G1","N3_175"
"477","conN3_175_017G1_concoct_23.fa","Klebsiella quasipneumoniae","N3_175_017G1","N3_175"
"478","conN3_175_017G1_concoct_7.fa","Clostridium baratii str. Sullivan","N3_175_017G1","N3_175"
"479","conN3_175_018G1_concoct_17.fa","Enterococcus faecalis D32","N3_175_018G1","N3_175"
"480","conN3_175_019G1_concoct_21.fa","Propionibacterium avidum 44067","N3_175_019G1","N3_175"
"481","conN3_175_032G1_concoct_34.fa","Kluyvera intermedia","N3_175_032G1","N3_175"
"482","conN3_175_035G1_concoct_1.fa","Propionibacterium avidum 44067","N3_175_035G1","N3_175"
"483","conN3_175_035G1_concoct_5.fa","Klebsiella pneumoniae","N3_175_035G1","N3_175"
"484","conN3_175_046G1_concoct_27.fa","Enterobacter cloacae subsp. cloacae ENHKU01","N3_175_046G1","N3_175"
"485","conN3_175_046G1_concoct_7.fa","Haemophilus parainfluenzae T3T1","N3_175_046G1","N3_175"
"486","conN3_175_051G1_concoct_20.fa","Clostridium butyricum","N3_175_051G1","N3_175"
"487","conN3_175_051G1_concoct_3.fa","Veillonella parvula DSM 2008","N3_175_051G1","N3_175"
"488","conN3_176_000G1_concoct_10.fa","Klebsiella oxytoca","N3_176_000G1","N3_176"
"489","conN3_176_000G1_concoct_20.fa","Clostridium sporogenes","N3_176_000G1","N3_176"
"490","conN3_176_000G1_concoct_24.fa","Staphylococcus epidermidis","N3_176_000G1","N3_176"
"491","conN3_176_000G1_concoct_26.fa","Finegoldia magna ATCC 29328","N3_176_000G1","N3_176"
"492","conN3_176_000G1_concoct_3.fa","Corynebacterium atypicum","N3_176_000G1","N3_176"
"493","conN3_176_000G1_concoct_4.fa","Veillonella parvula DSM 2008","N3_176_000G1","N3_176"
"494","conN3_176_015G1_concoct_5.fa","Klebsiella pneumoniae","N3_176_015G1","N3_176"
"495","conN3_176_015G1_concoct_6.fa","Enterococcus faecalis","N3_176_015G1","N3_176"
"496","conN3_176_015G1_concoct_7.fa","Clostridium baratii str. Sullivan","N3_176_015G1","N3_176"
"497","conN3_176_035G1_concoct_11.fa","Clostridium perfringens","N3_176_035G1","N3_176"
"498","conN3_176_035G1_concoct_21.fa","Enterobacter asburiae","N3_176_035G1","N3_176"
"499","conN3_176_035G1_concoct_26.fa","Citrobacter freundii","N3_176_035G1","N3_176"
"500","conN3_176_038G1_concoct_15.fa","Intestinimonas butyriciproducens","N3_176_038G1","N3_176"
"501","conN3_176_045G1_concoct_4.fa","Clostridium butyricum","N3_176_045G1","N3_176"
"502","conN3_177_000G1_concoct_17.fa","Enterococcus faecalis","N3_177_000G1","N3_177"
"503","conN3_177_000G1_concoct_20.fa","Bifidobacterium breve","N3_177_000G1","N3_177"
"504","conN3_177_009G1_concoct_41.fa","Klebsiella pneumoniae","N3_177_009G1","N3_177"
"505","conN3_177_018G1_concoct_7.fa","Enterobacter cloacae complex sp. 35734","N3_177_018G1","N3_177"
"506","conN3_177_024G1_concoct_21.fa","Enterobacter cloacae complex sp. 35734","N3_177_024G1","N3_177"
"507","conN3_177_024G1_concoct_2.fa","Veillonella parvula DSM 2008","N3_177_024G1","N3_177"
"508","conN3_178_000G1_concoct_14.fa","Finegoldia magna ATCC 29328","N3_178_000G1","N3_178"
"509","conN3_178_000G1_concoct_23.fa","Clostridium baratii str. Sullivan","N3_178_000G1","N3_178"
"510","conN3_178_000G1_concoct_26.fa","Megasphaera elsdenii 14-14","N3_178_000G1","N3_178"
"511","conN3_178_000G1_concoct_27.fa","Clostridium perfringens","N3_178_000G1","N3_178"
"512","conN3_178_000G1_concoct_29.fa","Finegoldia magna ATCC 29328","N3_178_000G1","N3_178"
"513","conN3_178_000G1_concoct_2.fa","Staphylococcus epidermidis","N3_178_000G1","N3_178"
"514","conN3_178_000G1_concoct_8.fa","Clostridium butyricum","N3_178_000G1","N3_178"
"515","conN3_178_000G1_concoct_9.fa","Kluyvera intermedia","N3_178_000G1","N3_178"
"516","conN3_178_011G1_concoct_9.fa","Enterobacter cloacae complex sp. 35734","N3_178_011G1","N3_178"
"517","conN3_178_011G2_concoct_0.fa","Enterobacter hormaechei subsp. steigerwaltii","N3_178_011G2","N3_178"
"518","conN3_178_011G2_concoct_11.fa","Enterococcus faecalis DENG1","N3_178_011G2","N3_178"
"519","conN3_178_013G1_concoct_1.fa","Klebsiella pneumoniae 342","N3_178_013G1","N3_178"
"520","conN3_178_014G1_concoct_20.fa","Campylobacter ureolyticus RIGS 9880","N3_178_014G1","N3_178"
"521","conN3_178_014G1_concoct_28.fa","Streptococcus salivarius","N3_178_014G1","N3_178"
"522","conN3_178_015G1_concoct_31.fa","Enterococcus hirae ATCC 9790","N3_178_015G1","N3_178"
"523","conN3_182_000G1_concoct_21.fa","Corynebacterium simulans","N3_182_000G1","N3_182"
"524","conN3_182_000G1_concoct_7.fa","Staphylococcus epidermidis","N3_182_000G1","N3_182"
"525","conN3_182_020G1_concoct_29.fa","Enterococcus faecalis","N3_182_020G1","N3_182"
"526","conN3_183_000G1_concoct_12.fa","Lactobacillus helveticus","N3_183_000G1","N3_183"
"527","conN3_183_000G1_concoct_26.fa","Lactobacillus salivarius CECT 5713","N3_183_000G1","N3_183"
"528","conN3_183_000G1_concoct_48.fa","Lactobacillus gasseri 130918","N3_183_000G1","N3_183"
"529","conN3_183_000G1_concoct_6.fa","Escherichia coli","N3_183_000G1","N3_183"
"530","conN4_005_000G1_concoct_16.fa","Actinomyces meyeri","N4_005_000G1","N4_005"
"531","conN4_005_000G1_concoct_19.fa","Staphylococcus simulans","N4_005_000G1","N4_005"
"532","conN4_005_000G1_concoct_40.fa","Streptococcus salivarius","N4_005_000G1","N4_005"
"533","conN4_005_000G1_concoct_6.fa","Lactococcus lactis subsp. cremoris SK11","N4_005_000G1","N4_005"
"534","conN4_005_000G1_concoct_7.fa","Clostridium perfringens","N4_005_000G1","N4_005"
"535","conN4_005_008G1_concoct_17.fa","Pseudomonas aeruginosa","N4_005_008G1","N4_005"
"536","conN4_005_008G1_concoct_18.fa","Clostridium baratii str. Sullivan","N4_005_008G1","N4_005"
"537","conN4_005_008G1_concoct_3.fa","Staphylococcus epidermidis","N4_005_008G1","N4_005"
"538","conN4_005_017G1_concoct_12.fa","Propionibacterium acnes","N4_005_017G1","N4_005"
"539","conN4_005_017G1_concoct_13.fa","Veillonella parvula DSM 2008","N4_005_017G1","N4_005"
"540","conN4_005_017G1_concoct_27.fa","Haemophilus parainfluenzae T3T1","N4_005_017G1","N4_005"
"541","conN4_005_017G1_concoct_4.fa","Streptococcus mitis","N4_005_017G1","N4_005"
"542","conN4_005_026G1_concoct_22.fa","Clostridioides difficile","N4_005_026G1","N4_005"
"543","conN4_005_026G1_concoct_24.fa","Blautia sp. YL58","N4_005_026G1","N4_005"
"544","conN4_005_026G1_concoct_6.fa","Enterococcus faecalis","N4_005_026G1","N4_005"
"545","conN4_079_000G1_concoct_18.fa","Enterobacter cloacae","N4_079_000G1","N4_079"
"546","conN4_079_000G1_concoct_25.fa","Escherichia coli","N4_079_000G1","N4_079"
"547","conN4_079_000G1_concoct_5.fa","Clostridium baratii str. Sullivan","N4_079_000G1","N4_079"
"548","conN4_079_008G1_concoct_9.fa","Clostridium perfringens","N4_079_008G1","N4_079"
"549","conN4_079_014G1_concoct_32.fa","[Enterobacter] aerogenes","N4_079_014G1","N4_079"
